0,1,2,3,4,5
56.53,37.97,67.37,57.74,69.92,36.39
56.66,37.88,66.74,57.12,69.89,36.44
56.7,37.82,66.98,57.01,70.19,36.62
57.28,38.54,67.96,57.23,70.54,36.77
57.3,38.82,68.35,57.05,70.79,37.32
57.0,38.87,67.42,57.32,71.44,37.075
57.91,38.85,68.21,56.66,68.75,37.15
59.02,38.66,66.01,55.21,69.0,36.45
59.42,38.45,64.4,55.24,68.64,36.14
60.79,38.73,66.03,54.47,69.57,36.87
59.45,38.01,63.74,53.3,68.84,36.11
60.05,38.39,64.61,53.05,69.26,36.44
60.83,38.67,65.68,53.87,70.49,36.73
61.09,38.48,66.5,53.45,71.03,36.47
60.89,38.26,66.54,53.52,71.0,36.46
60.49,38.33,68.84,53.32,71.97,36.34
60.75,38.79,69.82,53.5,72.77,36.92
60.34,38.39,69.49,53.61,72.62,36.78
60.29,38.42,69.04,53.8,73.21,36.76
60.21,38.76,69.47,53.81,73.93,36.85
60.1,38.88,69.89,54.21,75.11,36.95
59.64,38.74,70.38,54.83,75.44,36.83
59.7,39.17,71.69,54.48,75.75,36.63
60.03,39.52,71.97,54.73,76.56,36.74
59.9,39.64,72.51,54.73,75.86,36.28
58.96,39.59,72.22,55.0,75.72,36.02
59.01,39.9,70.0,55.17,75.7,36.03
59.71,40.29,69.9,54.88,76.65,36.36
59.45,40.23,69.27,55.06,77.21,35.73
60.27,40.5,70.27,54.46,77.4,36.2
61.16,40.45,70.44,54.86,76.34,36.22
61.82,40.72,71.11,55.65,77.3,36.71
61.5,40.95,72.03,56.62,77.36,36.5
61.5,41.31,71.61,57.21,78.0,36.77
61.1,41.23,73.54,58.97,77.12,36.27
61.44,41.35,74.14,61.74,78.01,36.09
60.45,41.01,72.06,61.67,76.62,35.37
60.67,41.1,71.79,62.03,77.5,35.66
60.27,40.95,71.69,62.1,77.06,35.54
60.61,41.38,72.44,61.89,77.88,35.7
60.9,41.3,73.3,62.18,77.45,35.92
61.53,41.54,72.92,62.41,78.0,36.74
62.66,42.39,72.66,62.98,78.0,36.7
62.62,42.26,71.39,63.03,77.74,36.305
